"","id","founding_name","search_name"
"80","Alhena","Alhena","Alhena"
"81","Alioth","Alioth","Alioth"
"82","Alkaid","Alkaid","Alkaid"
"83","Alkalurops","Alkalurops","Alkalurops"
"84","Alkes","Alkes","Alkes"
"85","Alktral","Alktral","Alktral"
"86","All Dawn","All Dawn","All Dawn"
"87","Alleghe","Alleghe","Alleghe"
"88","Allerton","Allerton","Allerton"
"89","Alma Alta","Alma Alta","Alma Alta"
"90","Almach","Almach","Almach"
"91","Almunge","Almunge","Almunge"
"92","Alnadal","Alnadal","Alnadal"
"93","Alnasi","Alnasi","Alnasi"
"94","Alorton","Alorton","Alorton"
"95","Alphard (FWL)","Alphard (FWL)","Alphard"
"96","Alphard (MH)","Alphard (MH)","Alphard"
"97","Alphecca","Alphecca","Alphecca"
"98","Alpheratz","Alpheratz","Alpheratz"
"99","Alrakis","Alrakis","Alrakis"
"100","Alrescha","Alrescha","Alrescha"
"101","Alsek","Alsek","Alsek"
"102","Alshain","Alshain","Alshain"
"103","Alta","Alta","Alta"
"104","Alta Vista","Alta Vista","Alta Vista"
"105","Altair","Altair","Altair"
"106","Altais","Altais","Altais"
"107","Altdorf","Altdorf","Altdorf"
"108","Altenmarkt","Altenmarkt","Altenmarkt"
"109","Alterf","Alterf","Alterf"
"110","Althastan","Althastan","Althastan"
"111","Althea's Choice","Althea's Choice","Althea's Choice"
"112","Alto","Alto","Alto"
"113","Altona","Altona","Altona"
"114","Altoona (FS)","Altoona (FS)","Altoona"
"115","Altoona (LC)","Altoona (LC)","Altoona"
"116","Altorra","Altorra","Altorra"
"117","Alula Australis","Alula Australis","Alula Australis"
"118","Alula Borealis","Alula Borealis","Alula Borealis"
"119","Alya","Alya","Alya"
"120","Alyina","Alyina","Alyina"
"121","Ambatomainty","Ambatomainty","Ambatomainty"
"122","Amber","Amber","Amber"
"123","Amber Grove","Amber Grove","Amber Grove"
"124","Ambergrist","Ambergrist","Ambergrist"
"125","Ambrose","Ambrose","Ambrose"
"126","Amiga","Amiga","Amiga"
"127","Amity","Amity","Amity"
"128","Amminadav","Amminadav","Amminadav"
"129","Ammon","Ammon","Ammon"
"130","Amu Darya","Amu Darya","Amu Darya"
"131","An Ting","An Ting","An Ting"
"132","Anaea","Anaea","Anaea"
"133","Anaheim","Anaheim","Anaheim"
"134","Anatolia (Pillory 3130+)","Anatolia","Anatolia"
"135","Ancha","Ancha","Ancha"
"136","Andalusia","Andalusia","Andalusia"
"137","Andarmax","Andarmax","Andarmax"
"138","Andelys","Andelys","Andelys"
"139","Andiron (Helbrent 3025-)","Helbrent","Helbrent"
"140","Andro","Andro","Andro"
"141","Andurien","Andurien","Andurien"
"142","Anegasaki","Anegasaki","Anegasaki"
"143","Anembo","Anembo","Anembo"
"144","Angell II","Angell II","Angell"
"145","Angelsey","Angelsey","Angelsey"
"146","Anglia","Anglia","Anglia"
"147","Angol","Angol","Angol"
"148","Angra","Angra","Angra"
"149","Anguilla","Anguilla","Anguilla"
"150","Anjin Muerto","Anjin Muerto","Anjin Muerto"
"151","Ankaa","Ankaa","Ankaa"
"152","Anklan","Anklan","Anklan"
"153","Ankolika","Ankolika","Ankolika"
"154","Annapolis","Annapolis","Annapolis"
"155","Annunziata","Annunziata","Annunziata"
"156","Annwyn","Annwyn","Annwyn"
"157","Antallos (Port Krin)","Antallos (Port Krin)","Antallos"
"158","Antares","Antares","Antares"
"159","Antias","Antias","Antias"
"160","Antietam","Antietam","Antietam"
"161","Antipolo","Antipolo","Antipolo"
"162","Antwerp","Antwerp","Antwerp"
"163","Anywhere","Anywhere","Anywhere"
"164","Aodh","Aodh","Aodh"
"165","Aomen","Aomen","Aomen"
"166","Aosia","Aosia","Aosia"
"167","Apinzel","Apinzel","Apinzel"
"168","Apolakkia","Apolakkia","Apolakkia"
"169","Apollo","Apollo","Apollo"
"170","Apostica","Apostica","Apostica"
"171","Appian","Appian","Appian"
"172","Apriki","Apriki","Apriki"
"173","Apsalar","Apsalar","Apsalar"
"174","Aquagea","Aquagea","Aquagea"
"175","Aquavita","Aquavita","Aquavita"
"176","Aquileia","Aquileia","Aquileia"
"177","Aragon","Aragon","Aragon"
"178","Arboris","Arboris","Arboris"
"179","Arc-Royal","Arc-Royal","Arc-Royal"
"180","Arcadia (Clan)","Arcadia (Clan)","Arcadia"
"181","Arcadia (FS)","Arcadia (FS)","Arcadia"
"182","Arcadia (LC)","Arcadia (LC)","Arcadia"
"183","Arcturus","Arcturus","Arcturus"
"184","Ardoz","Ardoz","Ardoz"
"185","Ares","Ares","Ares"
"186","Arganda","Arganda","Arganda"
"187","Argondale","Argondale","Argondale"
"188","Argos","Argos","Argos"
"189","Argyle","Argyle","Argyle"
"190","Ariel","Ariel","Ariel"
"191","Aristotle","Aristotle","Aristotle"
"192","Arkab","Arkab","Arkab"
"193","Arlanda","Arlanda","Arlanda"
"194","Arlington","Arlington","Arlington"
"195","Arluna","Arluna","Arluna"
"196","Armaxa","Armaxa","Armaxa"
"197","Armington","Armington","Armington"
"198","Armstrong","Armstrong","Armstrong"
"199","Arn (Jia Tian 3130+)","Arn","Arn"
"200","Arnaudville","Arnaudville","Arnaudville"
"201","Arromanches","Arromanches","Arromanches"
"202","Artru","Artru","Artru"
"203","Arundel","Arundel","Arundel"
"204","As Samik","As Samik","As Samik"
"205","Ascella","Ascella","Ascella"
"206","Asellus Australis","Asellus Australis","Asellus Australis"
"207","Asellus Borealis","Asellus Borealis","Asellus Borealis"
"208","Asgard","Asgard","Asgard"
"209","Ashburton","Ashburton","Ashburton"
"210","Ashio","Ashio","Ashio"
"211","Ashkum","Ashkum","Ashkum"
"212","Ashley","Ashley","Ashley"
"213","Aspropirgos","Aspropirgos","Aspropirgos"
"214","Asta","Asta","Asta"
"215","Astrokaszy","Astrokaszy","Astrokaszy"
"216","Asturias","Asturias","Asturias"
"217","Asuncion","Asuncion","Asuncion"
"218","Athenry","Athenry","Athenry"
"219","Athna","Athna","Athna"
"220","Atlas","Atlas","Atlas"
"221","Atocongo","Atocongo","Atocongo"
"222","Atreus (Clan)","Atreus (Clan)","Atreus"
"223","Atreus (FWL)","Atreus (FWL)","Atreus"
"224","Atreus Prime","Atreus Prime","Atreus Prime"
"225","Atria","Atria","Atria"
"226","Atsugi","Atsugi","Atsugi"
"227","Attenbrooks","Attenbrooks","Attenbrooks"
"228","Atzenbrugg","Atzenbrugg","Atzenbrugg"
"229","Aubisson","Aubisson","Aubisson"
"230","Aucara","Aucara","Aucara"
"231","August","August","August"
"232","Augusta","Augusta","Augusta"
"233","Augustine","Augustine","Augustine"
"234","Auldhouse","Auldhouse","Auldhouse"
"235","Aur","Aur","Aur"
"236","Aurigae","Aurigae","Aurigae"
"237","Austerlitz (Scauld 3130+)","Austerlitz","Austerlitz"
"238","Australia","Australia","Australia"
"239","Autumn Wind","Autumn Wind","Autumn Wind"
"240","Avawatz","Avawatz","Avawatz"
"241","Avellaneda","Avellaneda","Avellaneda"
"242","Avigait","Avigait","Avigait"
"243","Avior","Avior","Avior"
"244","Avon","Avon","Avon"
"245","Avranches","Avranches","Avranches"
"246","Awano","Awano","Awano"
"247","Awyron","Awyron","Awyron"
"248","Axton","Axton","Axton"
"249","Ayacucho","Ayacucho","Ayacucho"
"250","Aylmer","Aylmer","Aylmer"
"251","Ayn Tarma","Ayn Tarma","Ayn Tarma"
"252","Azha","Azha","Azha"
"253","Azur","Azur","Azur"
"254","Babaeski","Babaeski","Babaeski"
"255","Babuyan","Babuyan","Babuyan"
"256","Babylon","Babylon","Babylon"
"257","Baccalieu","Baccalieu","Baccalieu"
"258","Bacum","Bacum","Bacum"
"259","Bad News","Bad News","Bad News"
"260","Badlands","Badlands","Badlands"
"261","Baggville","Baggville","Baggville"
"262","Bahl's Retreat","Bahl's Retreat","Bahl's Retreat"
"263","Bainsville","Bainsville","Bainsville"
"264","Baker 3","Baker 3","Baker"
"265","Baldur","Baldur","Baldur"
"266","Baliggora","Baliggora","Baliggora"
"267","Balkan","Balkan","Balkan"
"268","Ballad II","Ballad II","Ballad"
"269","Ballalaba","Ballalaba","Ballalaba"
"270","Ballentine","Ballentine","Ballentine"
"271","Ballynure","Ballynure","Ballynure"
"272","Balsta","Balsta","Balsta"
"273","Baltar","Baltar","Baltar"
"274","Baltazar III (Himmels 3025-)","Helbrent","Helbrent"
"275","Bamburgh","Bamburgh","Bamburgh"
"276","Ban Na San","Ban Na San","Ban Na San"
"277","Bandora","Bandora","Bandora"
"278","Banfora","Banfora","Banfora"
"279","Bangor","Bangor","Bangor"
"280","Bannerhoft","Bannerhoft","Bannerhoft"
"281","Banori","Banori","Banori"
"282","Barahona","Barahona","Barahona"
"283","Baranda","Baranda","Baranda"
"284","Barcella","Barcella","Barcella"
"285","Barcelona","Barcelona","Barcelona"
"286","Barlaston","Barlaston","Barlaston"
"287","Barlow's End","Barlow's End","Barlow's End"
"288","Barlow's Folly (Cussar 2864-)","Cussar","Cussar"
"289","Barras","Barras","Barras"
"290","Barstow","Barstow","Barstow"
"291","Bartrock","Bartrock","Bartrock"
"292","Baruun Urt","Baruun Urt","Baruun Urt"
"293","Baryshevo","Baryshevo","Baryshevo"
"294","Basalt","Basalt","Basalt"
"295","Basantapur","Basantapur","Basantapur"
"296","Basiliano","Basiliano","Basiliano"
"297","Bass","Bass","Bass"
"298","Bassfield","Bassfield","Bassfield"
"299","Bastian","Bastian","Bastian"
"300","Bastrop","Bastrop","Bastrop"
"301","Batajnica","Batajnica","Batajnica"
"302","Batavia","Batavia","Batavia"
"303","Battaraigi","Battaraigi","Battaraigi"
"304","Baxley","Baxley","Baxley"
"305","Baxter","Baxter","Baxter"
"306","Bayeux","Bayeux","Bayeux"
"307","Bayindir","Bayindir","Bayindir"
"308","Bayis II","Bayis II","Bayis"
"309","Bazaar","Bazaar","Bazaar"
"310","Bearclaw","Bearclaw","Bearclaw"
"311","Beaumont","Beaumont","Beaumont"
"312","Beauvais","Beauvais","Beauvais"
"313","Beckars","Beckars","Beckars"
"314","Bedeque","Bedeque","Bedeque"
"315","Beecher","Beecher","Beecher"
"316","Beehive Cluster","Beehive Cluster","Beehive Cluster"
"317","Beenleigh","Beenleigh","Beenleigh"
"318","Beid","Beid","Beid"
"319","Beils","Beils","Beils"
"320","Belacruz","Belacruz","Belacruz"
"321","Belaire","Belaire","Belaire"
"322","Belamor (Zanzor 2822+)","Belamor","Belamor"
"323","Belgae","Belgae","Belgae"
"324","Bell (CC)","Bell (CC)","Bell"
"325","Bell (OA)","Bell (OA)","Bell"
"326","Bella I","Bella I","Bella"
"327","Belladonna","Belladonna","Belladonna"
"328","Bellatrix","Bellatrix","Bellatrix"
"329","Belle Isle","Belle Isle","Belle Isle"
"330","Bellevue","Bellevue","Bellevue"
"331","Belluevue","Belluevue","Belluevue"
"332","Benedict","Benedict","Benedict"
"333","Benet III","Benet III","Benet"
"334","Benfled","Benfled","Benfled"
"335","Benjamin","Benjamin","Benjamin"
"336","Bensinger","Bensinger","Bensinger"
"337","Bentley","Bentley","Bentley"
"338","Beowulf","Beowulf","Beowulf"
"339","Berenson","Berenson","Berenson"
"340","Bergen","Bergen","Bergen"
"341","Bergman's Planet","Bergman's Planet","Bergman's Planet"
"342","Bergtatt","Bergtatt","Bergtatt"
"343","Bernardo","Bernardo","Bernardo"
"344","Bessarabia","Bessarabia","Bessarabia"
"345","Beta Mensae V","Beta Mensae V","Beta Mensae"
"346","Beta Regulus II","Beta Regulus II","Beta Regulus"
"347","Beta Salandor","Beta Salandor","Beta Salandor"
"348","Beta VII","Beta VII","Beta"
"349","Betelgeuse","Betelgeuse","Betelgeuse"
"350","Beten Kaitos","Beten Kaitos","Beten Kaitos"
"351","Bethel","Bethel","Bethel"
"352","Bethonolog","Bethonolog","Bethonolog"
"353","Bettendorf","Bettendorf","Bettendorf"
"354","Bex","Bex","Bex"
"355","Bhaktapur","Bhaktapur","Bhaktapur"
"356","Bharat","Bharat","Bharat"
"357","Bhykov","Bhykov","Bhykov"
"358","Bicester","Bicester","Bicester"
"359","Biegga","Biegga","Biegga"
"360","Biham","Biham","Biham"
"361","Bilma","Bilma","Bilma"
"362","Biloela","Biloela","Biloela"
"363","Binyang","Binyang","Binyang"
"364","Biota","Biota","Biota"
"365","Birmensdorf","Birmensdorf","Birmensdorf"
"366","Birqash","Birqash","Birqash"
"367","Bismarck","Bismarck","Bismarck"
"368","Bithinia","Bithinia","Bithinia"
"369","Biuque","Biuque","Biuque"
"370","Bjarred","Bjarred","Bjarred"
"371","Bjornlunda","Bjornlunda","Bjornlunda"
"372","Black Earth","Black Earth","Black Earth"
"373","Blackjack","Blackjack","Blackjack"
"374","Blackstone","Blackstone","Blackstone"
"375","Blair Atholl","Blair Atholl","Blair Atholl"
"376","Blandinsville","Blandinsville","Blandinsville"
"377","Blandou","Blandou","Blandou"
"378","Blantleff (Dersidatz 3025-)","Dersidatz","Dersidatz"
"379","Blida","Blida","Blida"
"380","Blommestein","Blommestein","Blommestein"
"381","Blue Diamond","Blue Diamond","Blue Diamond"
"382","Blue Hole","Blue Hole","Blue Hole"
"383","Blue Sava","Blue Sava","Blue Sava"
"384","Blueys","Blueys","Blueys"
"385","Bluford","Bluford","Bluford"
"386","Blumenort","Blumenort","Blumenort"
"387","Boara","Boara","Boara"
"388","Boardwalk","Boardwalk","Boardwalk"
"389","Bobruisk","Bobruisk","Bobruisk"
"390","Bodnath","Bodnath","Bodnath"
"391","Boeotia","Boeotia","Boeotia"
"392","Bogard","Bogard","Bogard"
"393","Bogerth","Bogerth","Bogerth"
"394","Bogrib","Bogrib","Bogrib"
"395","Bolan","Bolan","Bolan"
"396","Bonaire","Bonaire","Bonaire"
"397","Bondurant","Bondurant","Bondurant"
"398","Bone-Norman","Bone-Norman","Bone-Norman"
"399","Bonneau","Bonneau","Bonneau"
"400","Booker","Booker","Booker"
"401","Boondock","Boondock","Boondock"
"402","Bora","Bora","Bora"
"403","Borden","Borden","Borden"
"404","Bordon","Bordon","Bordon"
"405","Borgan's Rift","Borgan's Rift","Borgan's Rift"
"406","Borghese","Borghese","Borghese"
"407","Borka","Borka","Borka"
"408","Bossangoa","Bossangoa","Bossangoa"
"409","Botany Bay","Botany Bay","Botany Bay"
"410","Bothwell","Bothwell","Bothwell"
"411","Bougie","Bougie","Bougie"
"412","Boulsi","Boulsi","Boulsi"
"413","Bountiful Harvest","Bountiful Harvest","Bountiful Harvest"
"414","Bowang","Bowang","Bowang"
"415","Braben's Frontier","Braben's Frontier","Braben's Frontier"
"416","Brabent","Brabent","Brabent"
"417","Brailsford","Brailsford","Brailsford"
"418","Branzoll","Branzoll","Branzoll"
"419","Brasha","Brasha","Brasha"
"420","Braum","Braum","Braum"
"421","Braunschweig","Braunschweig","Braunschweig"
"422","Braunton","Braunton","Braunton"
"423","Breed","Breed","Breed"
"424","Bremen (HL)","Bremen (HL)","Bremen"
"425","Bremen (RWR)","Bremen (RWR)","Bremen"
"426","Bremond","Bremond","Bremond"
"427","Brest","Brest","Brest"
"428","Breukelen","Breukelen","Breukelen"
"429","Brighton","Brighton","Brighton"
"430","Brihuega","Brihuega","Brihuega"
"431","Brim","Brim","Brim"
"432","Bringdam","Bringdam","Bringdam"
"433","Brinton","Brinton","Brinton"
"434","Brisbane","Brisbane","Brisbane"
"435","Bristol","Bristol","Bristol"
"436","Brixtana","Brixtana","Brixtana"
"437","Broaddus","Broaddus","Broaddus"
"438","Brocchi's Cluster (40)","Brocchi's Cluster (40)","Brocchi's Cluster"
"439","Brockton","Brockton","Brockton"
"440","Brockway","Brockway","Brockway"
"441","Broken Wheel","Broken Wheel","Broken Wheel"
"442","Bromhead","Bromhead","Bromhead"
"443","Brookeland","Brookeland","Brookeland"
"444","Brooloo","Brooloo","Brooloo"
"445","Brownsville","Brownsville","Brownsville"
"446","Bruben","Bruben","Bruben"
"447","Bruges","Bruges","Bruges"
"448","Brundage","Brundage","Brundage"
"449","Brundams","Brundams","Brundams"
"450","Brusett","Brusett","Brusett"
"451","Bryant","Bryant","Bryant"
"452","Bryceland","Bryceland","Bryceland"
"453","Buchlau","Buchlau","Buchlau"
"454","Bucklands","Bucklands","Bucklands"
"455","Buckminster","Buckminster","Buckminster"
"456","Budingen","Budingen","Budingen"
"457","Buena","Buena","Buena"
"458","Buenos Aires","Buenos Aires","Buenos Aires"
"459","Burnt Rock","Burnt Rock","Burnt Rock"
"460","Burton","Burton","Burton"
"461","Bushmill","Bushmill","Bushmill"
"462","Butler","Butler","Butler"
"463","Butte Hold","Butte Hold","Butte Hold"
"464","Butzfleth","Butzfleth","Butzfleth"
"465","Bye's Ship","Bye's Ship","Bye's Ship"
"466","Byesville","Byesville","Byesville"
"467","Cabanatuan","Cabanatuan","Cabanatuan"
"468","Cadela","Cadela","Cadela"
"469","Cadiz (DC)","Cadiz (DC)","Cadiz"
"470","Cadiz (TC)","Cadiz (TC)","Cadiz"
"471","Caerlaverock","Caerlaverock","Caerlaverock"
"472","Caesaera","Caesaera","Caesaera"
"473","Caesar's Crown","Caesar's Crown","Caesar's Crown"
"474","Cahokia","Cahokia","Cahokia"
"475","Caillinius","Caillinius","Caillinius"
"476","Cajamarca","Cajamarca","Cajamarca"
"477","Calafell","Calafell","Calafell"
"478","Calchedon","Calchedon","Calchedon"
"479","Caldarium","Caldarium","Caldarium"
"480","Caldrea","Caldrea","Caldrea"
"481","Caldwell","Caldwell","Caldwell"
"482","Caledea","Caledea","Caledea"
"483","Caledonia","Caledonia","Caledonia"
"484","Calingasta","Calingasta","Calingasta"
"485","Calish (Calish II, III)","Calish (Calish II, III)","Calish"
"486","Callison","Callison","Callison"
"487","Callisto V","Callisto V","Callisto"
"488","Calloway VI","Calloway VI","Calloway"
"489","Calpaca","Calpaca","Calpaca"
"490","Calseraigne","Calseraigne","Calseraigne"
"491","Calvados","Calvados","Calvados"
"492","Camadeierre","Camadeierre","Camadeierre"
"493","Cambiano","Cambiano","Cambiano"
"494","Cambridge","Cambridge","Cambridge"
"495","Cambridge Perimeter Defense Station","Cambridge Perimeter Defense Station","Cambridge Perimeter Defense Station"
"496","Cameron (FWL)","Cameron (FWL)","Cameron"
"497","Cameron (LC)","Cameron (LC)","Cameron"
"498","Camlann (FWL)","Camlann (FWL)","Camlann"
"499","Camlann (LC)","Camlann (LC)","Camlann"
"500","Cammal","Cammal","Cammal"
"501","Campbelton","Campbelton","Campbelton"
"502","Campertown","Campertown","Campertown"
"503","Campoleone","Campoleone","Campoleone"
"504","Canal","Canal","Canal"
"505","Candiear","Candiear","Candiear"
"506","Canonbie","Canonbie","Canonbie"
"507","Canopus IV","Canopus IV","Canopus"
"508","Cap Rouge","Cap Rouge","Cap Rouge"
"509","Capac","Capac","Capac"
"510","Capella","Capella","Capella"
"511","Caph","Caph","Caph"
"512","Capolla","Capolla","Capolla"
"513","Capra","Capra","Capra"
"514","Capricorn III","Capricorn III","Capricorn"
"515","Caracol","Caracol","Caracol"
"516","Carbonis","Carbonis","Carbonis"
"517","Carcassonne","Carcassonne","Carcassonne"
"518","Carcri","Carcri","Carcri"
"519","Cardff","Cardff","Cardff"
"520","Caria","Caria","Caria"
"521","Caripare","Caripare","Caripare"
"522","Carlisle","Carlisle","Carlisle"
"523","Carmacks","Carmacks","Carmacks"
"524","Carmelita","Carmelita","Carmelita"
"525","Carmen","Carmen","Carmen"
"526","Carmichael","Carmichael","Carmichael"
"527","Carnac","Carnac","Carnac"
"528","Carnwath","Carnwath","Carnwath"
"529","Carse","Carse","Carse"
"530","Carsphairn","Carsphairn","Carsphairn"
"531","Carstairs","Carstairs","Carstairs"
"532","Cartago","Cartago","Cartago"
"533","Carthage","Carthage","Carthage"
"534","Carvajal","Carvajal","Carvajal"
"535","Carver V (Liberty 3063+)","Carver V","Carver"
"536","Cascade","Cascade","Cascade"
"537","Caselton","Caselton","Caselton"
"538","Casere","Casere","Casere"
"539","Cassias","Cassias","Cassias"
"540","Castile","Castile","Castile"
"541","Castor","Castor","Castor"
"542","Castrovia","Castrovia","Castrovia"
"543","Cate's Hold","Cate's Hold","Cate's Hold"
"544","Catroxx","Catroxx","Catroxx"
"545","Cavalor","Cavalor","Cavalor"
"546","Cavanaugh II","Cavanaugh II","Cavanaugh"
"547","Cayuga","Cayuga","Cayuga"
"548","Ceará","Ceará","Ceará"
"549","Cebalrai","Cebalrai","Cebalrai"
"550","Ceiba","Ceiba","Ceiba"
"551","Celano","Celano","Celano"
"552","Celebes","Celebes","Celebes"
"553","Celentaro","Celentaro","Celentaro"
"554","Centavido","Centavido","Centavido"
"555","Cephei","Cephei","Cephei"
"556","Ceram","Ceram","Ceram"
"557","Cerberus","Cerberus","Cerberus"
"558","Cerignola","Cerignola","Cerignola"
"559","Cerillos","Cerillos","Cerillos"
"560","Cerulean","Cerulean","Cerulean"
"561","Ceuta","Ceuta","Ceuta"
"562","Chaffee (DP)","Chaffee (DP)","Chaffee"
"563","Chaffee (LC)","Chaffee (LC)","Chaffee"
"564","Chagos","Chagos","Chagos"
"565","Chahar","Chahar","Chahar"
"566","Chaine Cluster (7)","Chaine Cluster (7)","Chaine Cluster"
"567","Chakachamna","Chakachamna","Chakachamna"
"568","Chalouba","Chalouba","Chalouba"
"569","Chamdo","Chamdo","Chamdo"
"570","Champadanga","Champadanga","Champadanga"
"571","Chandler","Chandler","Chandler"
"572","Chanute","Chanute","Chanute"
"573","Chapineria","Chapineria","Chapineria"
"574","Chapultepec","Chapultepec","Chapultepec"
"575","Chara (Pacifica)","Chara (Pacifica)","Chara"
"576","Charity","Charity","Charity"
"577","Charleston","Charleston","Charleston"
"578","Charleywood","Charleywood","Charleywood"
"579","Chateau","Chateau","Chateau"
"580","Chatham","Chatham","Chatham"
"581","Chaumont","Chaumont","Chaumont"
"582","Chaville","Chaville","Chaville"
"583","Chebanse","Chebanse","Chebanse"
"584","Chengdu","Chengdu","Chengdu"
"585","Chenier","Chenier","Chenier"
"586","Chennai","Chennai","Chennai"
"587","Cheriton","Cheriton","Cheriton"
"588","Chertan","Chertan","Chertan"
"589","Chesterton","Chesterton","Chesterton"
"590","Chhaprauli","Chhaprauli","Chhaprauli"
"591","Chiavenna","Chiavenna","Chiavenna"
"592","Chichibu","Chichibu","Chichibu"
"593","Chillon","Chillon","Chillon"
"594","Chilung","Chilung","Chilung"
"595","Chimpaw","Chimpaw","Chimpaw"
"596","Chinmen Tao","Chinmen Tao","Chinmen Tao"
"597","Chirala","Chirala","Chirala"
"598","Chirikof","Chirikof","Chirikof"
"599","Chita","Chita","Chita"
"600","Chitwan","Chitwan","Chitwan"
"601","Choex","Choex","Choex"
"602","Cholame","Cholame","Cholame"
"603","Chorley","Chorley","Chorley"
"604","Chota","Chota","Chota"
"605","Choudrant","Choudrant","Choudrant"
"606","Chouli","Chouli","Chouli"
"607","Christiania","Christiania","Christiania"
"608","Chukchi III","Chukchi III","Chukchi"
"609","Chupadero","Chupadero","Chupadero"
"610","Ciampino","Ciampino","Ciampino"
"611","Cilvituk","Cilvituk","Cilvituk"
"612","Cimeron","Cimeron","Cimeron"
"613","Ciotat","Ciotat","Ciotat"
"614","Circe","Circe","Circe"
"615","Circinus","Circinus","Circinus"
"616","Cirebon","Cirebon","Cirebon"
"617","Claxton","Claxton","Claxton"
"618","Clayborne II (Green Stone 3025-)","Green Stone","Green Stone"
"619","Claybrooke","Claybrooke","Claybrooke"
"620","Clearfield","Clearfield","Clearfield"
"621","Clermont","Clermont","Clermont"
"622","Clinton","Clinton","Clinton"
"623","Clipperton","Clipperton","Clipperton"
"624","Clovis","Clovis","Clovis"
"625","Cogdell","Cogdell","Cogdell"
"626","Cohagen","Cohagen","Cohagen"
"627","Cohay","Cohay","Cohay"
"628","Colchester","Colchester","Colchester"
"629","Colchis","Colchis","Colchis"
"630","Coldbrook","Coldbrook","Coldbrook"
"631","Cole Harbour","Cole Harbour","Cole Harbour"
"632","Colfax","Colfax","Colfax"
"633","Colia","Colia","Colia"
"634","Colinas","Colinas","Colinas"
"635","Colleen","Colleen","Colleen"
"636","Colmar","Colmar","Colmar"
"637","Coloma","Coloma","Coloma"
"638","Colorado","Colorado","Colorado"
"639","Columbine","Columbine","Columbine"
