name,pantheon,popularity
Mm,Celtic Gods,7606
Mongan,Celtic Gods,10435
Morrigan,Celtic Gods,174163
Nantosueta,Celtic Gods,8981
Nechtan,Celtic Gods,12881
Nemain,Celtic Gods,22582
Nemglan,Celtic Gods,8807
Niamh,Celtic Gods,13707
Oghma,Celtic Gods,23564
Ogmios,Celtic Gods,5584
Oisin,Celtic Gods,19427
Pwyll,Celtic Gods,11515
Rhiannon,Celtic Gods,25611
Rosmerta,Celtic Gods,13771
Ruadan,Celtic Gods,16720
Sadb,Celtic Gods,12426
Sheela Na Gig,Celtic Gods,13592
Succellos,Celtic Gods,20795
Tailtu,Celtic Gods,13271
Taliesin,Celtic Gods,18564
Taranis,Celtic Gods,19751
Tegid Foel,Celtic Gods,4609
Teutatis,Celtic Gods,11980
Tuatha De Danann,Celtic Gods,64095
Twrch Tryth,Celtic Gods,9600
Urisk,Celtic Gods,3411
Wogan,Celtic Gods,14585
Xulsigiae,Celtic Gods,16430
Ao Ch'in,Chinese Gods,46054
Ao Jun,Chinese Gods,20623
Ao Kuang,Chinese Gods,35870
Ao P'ing,Chinese Gods,15797
Ao Shun,Chinese Gods,16610
Ba Ja,Chinese Gods,13581
Ba Xian,Chinese Gods,64920
Bao Yan Luo,Chinese Gods,69702
Bi Bian Cheng,Chinese Gods,19485
Bi Disc,Chinese Gods,24940
C'hi Ku,Chinese Gods,13717
Cai Shen,Chinese Gods,24901
Can Nu,Chinese Gods,9899
Cao Guo Jiu,Chinese Gods,40037
Ch'ang Mu,Chinese Gods,19448
Ch'eng Huang,Chinese Gods,16247
Ch'i,Chinese Gods,16891
Ch'i Lin,Chinese Gods,25488
Ch'in Shu Pao,Chinese Gods,13291
Ch'u Kiang Wang,Chinese Gods,13205
Ch'uang K'ung,Chinese Gods,9535
Chang'e,Chinese Gods,16969
Chang Fei,Chinese Gods,21402
Chang Hsien,Chinese Gods,12935
Chang Kuo Lao,Chinese Gods,22173
Chang Sheng,Chinese Gods,106964
Chi Sung Tzu,Chinese Gods,9356
Chi Yu,Chinese Gods,10628
Chiang Yuan,Chinese Gods,8971
Chih Hii,Chinese Gods,17018
Chih Zhi,Chinese Gods,10188
Chou Wang,Chinese Gods,19189
Chu I,Chinese Gods,8974
Chu Jong,Chinese Gods,23081
Chu Pa Chieh,Chinese Gods,22521
Chuan Yin,Chinese Gods,55327
Chuang Lun Wang,Chinese Gods,13658
Chun Ti,Chinese Gods,11867
Chung Li Chuan,Chinese Gods,15320
Da Yu,Chinese Gods,18444
Dao,Chinese Gods,33812
Dao De Tian Zong,Chinese Gods,13246
Dao Jun,Chinese Gods,11256
Di Jun,Chinese Gods,14557
Di Kang Wang,Chinese Gods,9369
Di Yi,Chinese Gods,11681
Dong Tai Shan,Chinese Gods,14182
Dragon Kings,Chinese Gods,28187
Du Shi Wang,Chinese Gods,12467
Enlightener of the Darkness,Chinese Gods,9579
Er Lang,Chinese Gods,18360
Fan Guei,Chinese Gods,9583
Fei Lian,Chinese Gods,14014
Feng Du,Chinese Gods,37729
Feng Huang,Chinese Gods,18560
Feng Shui,Chinese Gods,9609
Fengyi,Chinese Gods,21684
Fo Hi,Chinese Gods,13026
Fu Hsi,Chinese Gods,29768
Fu Hsing,Chinese Gods,19286
Gao Yao,Chinese Gods,12517
Gong De Tian,Chinese Gods,9380
Gong Gong,Chinese Gods,22359
Gou Mang,Chinese Gods,13670
Guan Xing,Chinese Gods,15219
Gui Xian,Chinese Gods,11737
Gun,Chinese Gods,9559
Guo Zi Yi,Chinese Gods,10012
Ha,Chinese Gods,6873
Hai Chan,Chinese Gods,19657
Han Hsiang Tzu,Chinese Gods,26612
Hang,Chinese Gods,6033
Hau Yi,Chinese Gods,19337
He Hsien Ku,Chinese Gods,25838
Hou Chi,Chinese Gods,9266
Hsi He,Chinese Gods,12954
Hsi Shih,Chinese Gods,14818
Hsi Wang Mu,Chinese Gods,22305
Hsiao Wu,Chinese Gods,7273
Hsuan Tsang,Chinese Gods,18577
Hsuan Wen Hua,Chinese Gods,10574
Hu Jing De,Chinese Gods,6483
Huai Nan Tzu,Chinese Gods,9076
Huang Di,Chinese Gods,14245
Huang Gun,Chinese Gods,5559
Hun Dun,Chinese Gods,16641
Jade Rabbit,Chinese Gods,7374
Jade Emperor,Chinese Gods,82237
Jiang Qin Guang,Chinese Gods,18732
Ju Shou,Chinese Gods,11787
K'uei Hsing,Chinese Gods,15741
Lady Meng,Chinese Gods,36261
Lan Cai He,Chinese Gods,36638
Lao Dan,Chinese Gods,19677
