Country or Area,Year,Area,Sex,Language,Record Type,Reliability,Source Year,Value
Anguilla,2001,Total,Female,Chinese,Census - de facto - complete tabulation,"Final figure, complete",2003,1
Anguilla,2001,Total,Female,Dutch,Census - de facto - complete tabulation,"Final figure, complete",2003,0
Anguilla,2001,Total,Female,English,Census - de facto - complete tabulation,"Final figure, complete",2003,5749
Anguilla,2001,Total,Female,Spanish,Census - de facto - complete tabulation,"Final figure, complete",2003,47
Anguilla,2001,Total,Female,Other,Census - de facto - complete tabulation,"Final figure, complete",2003,5
Armenia,2011,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,3018854
Armenia,2011,Total,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,2956615
Armenia,2011,Total,Both Sexes,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,23484
Armenia,2011,Total,Both Sexes,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,733
Armenia,2011,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,7020
Armenia,2011,Total,Both Sexes,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,30973
Armenia,2011,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1448052
Armenia,2011,Total,Male,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,1420964
Armenia,2011,Total,Male,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,7934
Armenia,2011,Total,Male,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,94
Armenia,2011,Total,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,3381
Armenia,2011,Total,Male,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,15666
Armenia,2011,Total,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1570802
Armenia,2011,Total,Female,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,1535651
Armenia,2011,Total,Female,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,15550
Armenia,2011,Total,Female,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,639
Armenia,2011,Total,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,3639
Armenia,2011,Total,Female,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,15307
Armenia,2011,Urban,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1911287
Armenia,2011,Urban,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,1886160
Armenia,2011,Urban,Both Sexes,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,17791
Armenia,2011,Urban,Both Sexes,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,552
Armenia,2011,Urban,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,2567
Armenia,2011,Urban,Both Sexes,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,4199
Armenia,2011,Urban,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,895372
Armenia,2011,Urban,Male,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,886292
Armenia,2011,Urban,Male,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,5697
Armenia,2011,Urban,Male,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,75
Armenia,2011,Urban,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,1222
Armenia,2011,Urban,Male,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,2078
Armenia,2011,Urban,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1015915
Armenia,2011,Urban,Female,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,999868
Armenia,2011,Urban,Female,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,12094
Armenia,2011,Urban,Female,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,477
Armenia,2011,Urban,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,1345
Armenia,2011,Urban,Female,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,2121
Armenia,2011,Rural,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,1107567
Armenia,2011,Rural,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,1070455
Armenia,2011,Rural,Both Sexes,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,5693
Armenia,2011,Rural,Both Sexes,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,181
Armenia,2011,Rural,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,4453
Armenia,2011,Rural,Both Sexes,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,26774
Armenia,2011,Rural,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,552680
Armenia,2011,Rural,Male,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,534672
Armenia,2011,Rural,Male,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,2237
Armenia,2011,Rural,Male,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,19
Armenia,2011,Rural,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,2159
Armenia,2011,Rural,Male,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,13588
Armenia,2011,Rural,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2013,554887
Armenia,2011,Rural,Female,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2013,535783
Armenia,2011,Rural,Female,Russian,Census - de jure - complete tabulation,"Final figure, complete",2013,3456
Armenia,2011,Rural,Female,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2013,162
Armenia,2011,Rural,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2013,2294
Armenia,2011,Rural,Female,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2013,13186
Armenia,2001,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,3213011
Armenia,2001,Total,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,3139152
Armenia,2001,Total,Both Sexes,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,29563
Armenia,2001,Total,Both Sexes,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,818
Armenia,2001,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,11679
Armenia,2001,Total,Both Sexes,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,31799
Armenia,2001,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,1541999
Armenia,2001,Total,Male,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,1511020
Armenia,2001,Total,Male,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,9540
Armenia,2001,Total,Male,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,91
Armenia,2001,Total,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,5401
Armenia,2001,Total,Male,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,15947
Armenia,2001,Total,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,1671012
Armenia,2001,Total,Female,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,1628132
Armenia,2001,Total,Female,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,20023
Armenia,2001,Total,Female,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,727
Armenia,2001,Total,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,6278
Armenia,2001,Total,Female,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,15852
Armenia,2001,Urban,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,2066153
Armenia,2001,Urban,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,2034296
Armenia,2001,Urban,Both Sexes,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,22328
Armenia,2001,Urban,Both Sexes,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,652
Armenia,2001,Urban,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,3366
Armenia,2001,Urban,Both Sexes,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,5511
Armenia,2001,Urban,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,974826
Armenia,2001,Urban,Male,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,963849
Armenia,2001,Urban,Male,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,6771
Armenia,2001,Urban,Male,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,85
Armenia,2001,Urban,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,1404
Armenia,2001,Urban,Male,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,2717
Armenia,2001,Urban,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,1091327
Armenia,2001,Urban,Female,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,1070447
Armenia,2001,Urban,Female,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,15557
Armenia,2001,Urban,Female,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,567
Armenia,2001,Urban,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,1962
Armenia,2001,Urban,Female,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,2794
Armenia,2001,Rural,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,1146858
Armenia,2001,Rural,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,1104856
Armenia,2001,Rural,Both Sexes,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,7235
Armenia,2001,Rural,Both Sexes,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,166
Armenia,2001,Rural,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,8313
Armenia,2001,Rural,Both Sexes,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,26288
Armenia,2001,Rural,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,567173
Armenia,2001,Rural,Male,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,547171
Armenia,2001,Rural,Male,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,2769
Armenia,2001,Rural,Male,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,6
Armenia,2001,Rural,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,3997
Armenia,2001,Rural,Male,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,13230
Armenia,2001,Rural,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2003,579685
Armenia,2001,Rural,Female,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2003,557685
Armenia,2001,Rural,Female,Russian,Census - de jure - complete tabulation,"Final figure, complete",2003,4466
Armenia,2001,Rural,Female,Ukrainian,Census - de jure - complete tabulation,"Final figure, complete",2003,160
Armenia,2001,Rural,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2003,4316
Armenia,2001,Rural,Female,Ezidian,Census - de jure - complete tabulation,"Final figure, complete",2003,13058
Aruba,2000,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,86408
Aruba,2000,Total,Both Sexes,Dutch,Census - de jure - complete tabulation,"Final figure, complete",2009,5289
Aruba,2000,Total,Both Sexes,English,Census - de jure - complete tabulation,"Final figure, complete",2009,7001
Aruba,2000,Total,Both Sexes,Papiamento,Census - de jure - complete tabulation,"Final figure, complete",2009,59984
Aruba,2000,Total,Both Sexes,Portuguese,Census - de jure - complete tabulation,"Final figure, complete",2009,225
Aruba,2000,Total,Both Sexes,Spanish,Census - de jure - complete tabulation,"Final figure, complete",2009,11368
Aruba,2000,Total,Both Sexes,Other,Census - de jure - complete tabulation,"Final figure, complete",2009,1781
Aruba,2000,Total,Both Sexes,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,759
Aruba,2000,Total,Male,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,41366
Aruba,2000,Total,Male,Dutch,Census - de jure - complete tabulation,"Final figure, complete",2009,2563
Aruba,2000,Total,Male,English,Census - de jure - complete tabulation,"Final figure, complete",2009,3213
Aruba,2000,Total,Male,Papiamento,Census - de jure - complete tabulation,"Final figure, complete",2009,28935
Aruba,2000,Total,Male,Portuguese,Census - de jure - complete tabulation,"Final figure, complete",2009,118
Aruba,2000,Total,Male,Spanish,Census - de jure - complete tabulation,"Final figure, complete",2009,5165
Aruba,2000,Total,Male,Other,Census - de jure - complete tabulation,"Final figure, complete",2009,982
Aruba,2000,Total,Male,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,391
Aruba,2000,Total,Female,Total,Census - de jure - complete tabulation,"Final figure, complete",2009,45042
Aruba,2000,Total,Female,Dutch,Census - de jure - complete tabulation,"Final figure, complete",2009,2726
Aruba,2000,Total,Female,English,Census - de jure - complete tabulation,"Final figure, complete",2009,3788
Aruba,2000,Total,Female,Papiamento,Census - de jure - complete tabulation,"Final figure, complete",2009,31050
Aruba,2000,Total,Female,Portuguese,Census - de jure - complete tabulation,"Final figure, complete",2009,107
Aruba,2000,Total,Female,Spanish,Census - de jure - complete tabulation,"Final figure, complete",2009,6203
Aruba,2000,Total,Female,Other,Census - de jure - complete tabulation,"Final figure, complete",2009,799
Aruba,2000,Total,Female,Unknown,Census - de jure - complete tabulation,"Final figure, complete",2009,369
Australia,2016,Total,Both Sexes,Total,Census - de jure - complete tabulation,"Final figure, complete",2017,23401892
Australia,2016,Total,Both Sexes,Aboriginal,Census - de jure - complete tabulation,"Final figure, complete",2017,651
Australia,2016,Total,Both Sexes,Albanian,Census - de jure - complete tabulation,"Final figure, complete",2017,9181
Australia,2016,Total,Both Sexes,Arabic,Census - de jure - complete tabulation,"Final figure, complete",2017,321728
Australia,2016,Total,Both Sexes,Armenian,Census - de jure - complete tabulation,"Final figure, complete",2017,10194
Australia,2016,Total,Both Sexes,Assamese,Census - de jure - complete tabulation,"Final figure, complete",2017,373
Australia,2016,Total,Both Sexes,Assyrian,Census - de jure - complete tabulation,"Final figure, complete",2017,28349
Australia,2016,Total,Both Sexes,Afrikaans,Census - de jure - complete tabulation,"Final figure, complete",2017,43741
Australia,2016,Total,Both Sexes,Balinese,Census - de jure - complete tabulation,"Final figure, complete",2017,199
Australia,2016,Total,Both Sexes,Belorussian,Census - de jure - complete tabulation,"Final figure, complete",2017,187
Australia,2016,Total,Both Sexes,Bemba,Census - de jure - complete tabulation,"Final figure, complete",2017,783
Australia,2016,Total,Both Sexes,Bislama,Census - de jure - complete tabulation,"Final figure, complete",2017,266
Australia,2016,Total,Both Sexes,Bengali,Census - de jure - complete tabulation,"Final figure, complete",2017,54566
Australia,2016,Total,Both Sexes,Bikol,Census - de jure - complete tabulation,"Final figure, complete",2017,111
Australia,2016,Total,Both Sexes,Bosnian,Census - de jure - complete tabulation,"Final figure, complete",2017,15832
Australia,2016,Total,Both Sexes,Bulgarian,Census - de jure - complete tabulation,"Final figure, complete",2017,2682
Australia,2016,Total,Both Sexes,Burmese,Census - de jure - complete tabulation,"Final figure, complete",2017,16321
Australia,2016,Total,Both Sexes,Cantonese,Census - de jure - complete tabulation,"Final figure, complete",2017,280943
Australia,2016,Total,Both Sexes,Cebuano,Census - de jure - complete tabulation,"Final figure, complete",2017,2820
Australia,2016,Total,Both Sexes,Tibetan,Census - de jure - complete tabulation,"Final figure, complete",2017,1473
Australia,2016,Total,Both Sexes,Croatian,Census - de jure - complete tabulation,"Final figure, complete",2017,56885
Australia,2016,Total,Both Sexes,Czech,Census - de jure - complete tabulation,"Final figure, complete",2017,7938
Australia,2016,Total,Both Sexes,Danish,Census - de jure - complete tabulation,"Final figure, complete",2017,5777
Australia,2016,Total,Both Sexes,Dutch,Census - de jure - complete tabulation,"Final figure, complete",2017,33835
Australia,2016,Total,Both Sexes,English,Census - de jure - complete tabulation,"Final figure, complete",2017,17020417
Australia,2016,Total,Both Sexes,Estonian,Census - de jure - complete tabulation,"Final figure, complete",2017,1844
